"coefficient","value"
"rec_pc_1997",0.781309290378294
"rec_pc_1998",1.90582068931765
"rec_pc_1999",0.32294541930638
"rec_pc_2000",0.379030547974386
"rec_pc_2001",3.02966503399337
"rec_pc_2002",0.0828106088548483
"rec_pc_2003",0.251160331211602
"rec_pc_2004",0.225470782972652
"rec_pc_2005",0.566304000376523
"rec_pc_2006",0.545648826887959
"rec_pc_2007",0.302454977919776
"rec_pc_2008",0.0793455313128215
"rec_pc_2009",0.133938735493422
"rec_siz",-9.12841207920515
"rec_sd",1.72562791449388
